,SL,STATE/UT,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,GraveCrimes,PettyCrimes,CrimeRatio
22,23,MEGHALAYA_2011,156.0,33.0,2.0,128.0,0.0,128.0,77.0,18.0,59.0,70.0,0.0,69.0,83.0,389.0,53.0,336.0,13.0,24.0,114.0,23.0,12.0,190.0,3.0,58.0,0.0,34.0,447.0,2072.0,0.21573359073359075
23,24,MIZORAM_2009,29.0,15.0,10.0,1.0,4.0,0.0,4.0,0.0,0.0,4.0,802.0,77.0,725.0,2.0,29.0,71.0,20.0,29.0,151.0,0.0,78.0,1.0,4.0,0.0,36.0,360.0,59.0,2452.0,0.02406199021207178
23,24,MIZORAM_2010,57.0,33.0,20.0,112.0,0.0,112.0,11.0,0.0,11.0,1.0,0.0,18.0,347.0,721.0,74.0,647.0,0.0,29.0,77.0,19.0,26.0,154.0,0.0,79.0,0.0,3.0,334.0,2551.0,0.13092904743237946
23,24,MIZORAM_2011,28.0,20.0,9.0,74.0,0.0,74.0,10.0,0.0,10.0,6.0,0.0,14.0,193.0,676.0,28.0,648.0,0.0,19.0,54.0,2.0,10.0,124.0,0.0,63.0,0.0,7.0,205.0,2069.0,0.09908168197196714
24,25,NAGALAND_2009,27.0,31.0,5.0,0.0,73.0,8.0,65.0,4.0,0.0,96.0,260.0,31.0,229.0,5.0,8.0,82.0,4.0,2.0,66.0,0.0,13.0,0.0,0.0,0.0,15.0,340.0,144.0,1364.0,0.10557184750733138
24,25,NAGALAND_2010,37.0,47.0,10.0,17.0,0.0,17.0,90.0,13.0,77.0,23.0,0.0,72.0,49.0,267.0,42.0,225.0,7.0,19.0,35.0,9.0,0.0,40.0,0.0,15.0,3.0,3.0,128.0,1117.0,0.11459265890778872
24,25,NAGALAND_2011,27.0,52.0,6.0,27.0,0.0,27.0,51.0,3.0,48.0,10.0,0.0,61.0,61.0,251.0,48.0,203.0,0.0,25.0,34.0,10.0,3.0,59.0,0.0,12.0,0.0,1.0,139.0,1019.0,0.1364082433758587
25,26,ODISHA_2009,1859.0,2037.0,66.0,0.0,1013.0,814.0,199.0,1491.0,380.0,2110.0,6263.0,1889.0,4374.0,8190.0,424.0,1166.0,49.0,689.0,10308.0,857.0,3589.0,297.0,2915.0,0.0,3402.0,30071.0,5789.0,84452.0,0.0685478141429451
25,26,ODISHA_2010,2051.0,2824.0,105.0,1363.0,0.0,1363.0,1297.0,1070.0,227.0,2008.0,555.0,2571.0,3620.0,7098.0,1968.0,5130.0,9961.0,559.0,1532.0,55.0,642.0,11357.0,988.0,4116.0,354.0,4840.0,7706.0,67654.0,0.11390309516067047
25,26,ODISHA_2011,2340.0,2512.0,100.0,1224.0,0.0,1224.0,1315.0,1107.0,208.0,1966.0,461.0,2541.0,2594.0,7789.0,2257.0,5532.0,9438.0,409.0,1450.0,26.0,691.0,11567.0,858.0,4541.0,313.0,3739.0,7400.0,66202.0,0.11177910032929518
